table,device,orientation,R1,R2,inclination_deg,effective_SC,source_pdf_page
C12,horizontal_projection,North & South,1.9,,10,0.6594,42
C12,horizontal_projection,North & South,1.9,,20,0.6577,42
C12,horizontal_projection,North & South,1.9,,30,0.6577,42
C12,horizontal_projection,North & South,1.9,,40,0.6577,42
C12,horizontal_projection,North & South,1.9,,50,0.6577,42
C12,horizontal_projection,North & South,2.0,,0,0.6652,42
C12,horizontal_projection,North & South,2.0,,10,0.6589,42
C12,horizontal_projection,North & South,2.0,,20,0.6577,42
C12,horizontal_projection,North & South,2.0,,30,0.6577,42
C12,horizontal_projection,North & South,2.0,,40,0.6577,42
C12,horizontal_projection,North & South,2.0,,50,0.6577,42
C12,horizontal_projection,North & South,2.1,,0,0.6645,42
C12,horizontal_projection,North & South,2.1,,10,0.6585,42
C12,horizontal_projection,North & South,2.1,,20,0.6577,42
C12,horizontal_projection,North & South,2.1,,30,0.6577,42
C12,horizontal_projection,North & South,2.1,,40,0.6577,42
C12,horizontal_projection,North & South,2.1,,50,0.6577,42
C12,horizontal_projection,North & South,2.2,,0,0.6637,42
C12,horizontal_projection,North & South,2.2,,10,0.6581,42
C12,horizontal_projection,North & South,2.2,,20,0.6577,42
C12,horizontal_projection,North & South,2.2,,30,0.6577,42
C12,horizontal_projection,North & South,2.2,,40,0.6577,42
C12,horizontal_projection,North & South,2.2,,50,0.6577,42
C12,horizontal_projection,North & South,2.3,,0,0.6630,42
C12,horizontal_projection,North & South,2.3,,10,0.6577,42
C12,horizontal_projection,North & South,2.3,,20,0.6577,42
C12,horizontal_projection,North & South,2.3,,30,0.6577,42
C12,horizontal_projection,North & South,2.3,,40,0.6577,42
C12,horizontal_projection,North & South,2.3,,50,0.6577,42
C12,horizontal_projection,North & South,2.4,,0,0.6622,42
C12,horizontal_projection,North & South,2.4,,10,0.6577,42
C12,horizontal_projection,North & South,2.4,,20,0.6577,42
C12,horizontal_projection,North & South,2.4,,30,0.6577,42
C12,horizontal_projection,North & South,2.4,,40,0.6577,42
C12,horizontal_projection,North & South,2.4,,50,0.6577,42
C12,horizontal_projection,North & South,2.5,,0,0.6614,42
C12,horizontal_projection,North & South,2.5,,10,0.6577,42
C12,horizontal_projection,North & South,2.5,,20,0.6577,42
C12,horizontal_projection,North & South,2.5,,30,0.6577,42
C12,horizontal_projection,North & South,2.5,,40,0.6577,42
C12,horizontal_projection,North & South,2.5,,50,0.6577,42
C12,horizontal_projection,North & South,2.6,,0,0.6607,42
C12,horizontal_projection,North & South,2.6,,10,0.6577,42
C12,horizontal_projection,North & South,2.6,,20,0.6577,42
C12,horizontal_projection,North & South,2.6,,30,0.6577,42
C12,horizontal_projection,North & South,2.6,,40,0.6577,42
C12,horizontal_projection,North & South,2.6,,50,0.6577,42
C12,horizontal_projection,North & South,2.7,,0,0.6604,42
C12,horizontal_projection,North & South,2.7,,10,0.6577,42
C12,horizontal_projection,North & South,2.7,,20,0.6577,42
C12,horizontal_projection,North & South,2.7,,30,0.6577,42
C12,horizontal_projection,North & South,2.7,,40,0.6577,42
C12,horizontal_projection,North & South,2.7,,50,0.6577,42
C12,horizontal_projection,North & South,2.8,,0,0.6601,42
C12,horizontal_projection,North & South,2.8,,10,0.6577,42
C12,horizontal_projection,North & South,2.8,,20,0.6577,42
C12,horizontal_projection,North & South,2.8,,30,0.6577,42
C12,horizontal_projection,North & South,2.8,,40,0.6577,42
C12,horizontal_projection,North & South,2.8,,50,0.6577,42
C12,horizontal_projection,North & South,2.9,,0,0.6599,42
C12,horizontal_projection,North & South,2.9,,10,0.6577,42
C12,horizontal_projection,North & South,2.9,,20,0.6577,42
C12,horizontal_projection,North & South,2.9,,30,0.6577,42
C12,horizontal_projection,North & South,2.9,,40,0.6577,42
C12,horizontal_projection,North & South,2.9,,50,0.6577,42
C12,horizontal_projection,North & South,3.0,,0,0.6596,42
C12,horizontal_projection,North & South,3.0,,10,0.6577,42
C12,horizontal_projection,North & South,3.0,,20,0.6577,42
C12,horizontal_projection,North & South,3.0,,30,0.6577,42
C12,horizontal_projection,North & South,3.0,,40,0.6577,42
C12,horizontal_projection,North & South,3.0,,50,0.6577,42
C13,horizontal_projection,East & West,0.1,,0,0.9363,43
C13,horizontal_projection,East & West,0.1,,10,0.9268,43
C13,horizontal_projection,East & West,0.1,,20,0.9195,43
C13,horizontal_projection,East & West,0.1,,30,0.9147,43
C13,horizontal_projection,East & West,0.1,,40,0.9124,43
C13,horizontal_projection,East & West,0.1,,50,0.9129,43
C13,horizontal_projection,East & West,0.2,,0,0.8752,43
C13,horizontal_projection,East & West,0.2,,10,0.8565,43
C13,horizontal_projection,East & West,0.2,,20,0.8416,43
C13,horizontal_projection,East & West,0.2,,30,0.8309,43
C13,horizontal_projection,East & West,0.2,,40,0.8257,43
C13,horizontal_projection,East & West,0.2,,50,0.8257,43
C13,horizontal_projection,East & West,0.3,,0,0.8228,43
C13,horizontal_projection,East & West,0.3,,10,0.7947,43
C13,horizontal_projection,East & West,0.3,,20,0.7723,43
C13,horizontal_projection,East & West,0.3,,30,0.7563,43
C13,horizontal_projection,East & West,0.3,,40,0.7470,43
C13,horizontal_projection,East & West,0.3,,50,0.7448,43
C13,horizontal_projection,East & West,0.4,,0,0.7703,43
C13,horizontal_projection,East & West,0.4,,10,0.7330,43
C13,horizontal_projection,East & West,0.4,,20,0.7036,43
C13,horizontal_projection,East & West,0.4,,30,0.6820,43
C13,horizontal_projection,East & West,0.4,,40,0.6693,43
C13,horizontal_projection,East & West,0.4,,50,0.6664,43
C13,horizontal_projection,East & West,0.5,,0,0.7248,43
C13,horizontal_projection,East & West,0.5,,10,0.6842,43
C13,horizontal_projection,East & West,0.5,,20,0.6550,43
C13,horizontal_projection,East & West,0.5,,30,0.6231,43
C13,horizontal_projection,East & West,0.5,,40,0.6045,43
C13,horizontal_projection,East & West,0.5,,50,0.5946,43
C13,horizontal_projection,East & West,0.6,,0,0.6911,43
C13,horizontal_projection,East & West,0.6,,10,0.6424,43
C13,horizontal_projection,East & West,0.6,,20,0.6013,43
C13,horizontal_projection,East & West,0.6,,30,0.5691,43
C13,horizontal_projection,East & West,0.6,,40,0.5467,43
C13,horizontal_projection,East & West,0.6,,50,0.5349,43
C13,horizontal_projection,East & West,0.7,,0,0.6574,43
C13,horizontal_projection,East & West,0.7,,10,0.6006,43
C13,horizontal_projection,East & West,0.7,,20,0.5559,43
C13,horizontal_projection,East & West,0.7,,30,0.5249,43
C13,horizontal_projection,East & West,0.7,,40,0.5012,43
C13,horizontal_projection,East & West,0.7,,50,0.4851,43
C13,horizontal_projection,East & West,0.8,,0,0.6237,43
C13,horizontal_projection,East & West,0.8,,10,0.5693,43
C13,horizontal_projection,East & West,0.8,,20,0.5273,43
C13,horizontal_projection,East & West,0.8,,30,0.4923,43
C13,horizontal_projection,East & West,0.8,,40,0.4651,43
C13,horizontal_projection,East & West,0.8,,50,0.4467,43
C13,horizontal_projection,East & West,0.9,,0,0.5998,43
C13,horizontal_projection,East & West,0.9,,10,0.5463,43
